Sual,A,B,C,D,Dogru cavab
"Hansıl AI sahəsi robotların fiziki hərəkətlərini və mühitlə əlaqəsini öyrədir?","Təbii dil işlənməsi","Maşın öyrənməsi",Süni ümumi intellekt,Robototexnika,D
Hansıl süni intellekt sahəsi şəkil və videoları emal etməklə məşğul olur?,Robototexnika,"Maşın öyrənməsi",Kompüter vizyonu,"Təbii dil işlənməsi",C
"Hansıl təkmilləşmiş texnologiya maşınların insan dilini anlamasına və cavab
verməsinə kömək edir?",Dərin öyrənmə,"Təbii dil işlənməsi (NLP)","Süni sinir şəbəkələri","Kompüter vizyonu",B
"Image classification üçün verilənlər bazasını hazırlayarkən hansı növ etiketlər
istifadə olunur?",Bütün qeyd edilənlər,Kategorik etiketlər,"Rəqəmsal etiketlər","Yalnız müsbət və mənfi etiketlər",B
Image Classification üçün ən çox istifadə olunan sinir şəbəkəsi modeli hansıdır?,Support Vector Machine (SVM),Multi-Layer Perceptron (MLP),"Convolutional Neural Network (CNN)",Recurrent Neural Network (RNN),C
Intersection over Union (IoU) nəyi ifadə edir?,Aşağı dəqiqlikli obyektləri ölçmək,"Modelin sinifləndirmə dəqiqliyini ölçür","Doğru tanınan obyektlərin sahəsinin cəmi ilə səhv tanınan obyektlərin
sahəsinin nisbətini göstərir","Obyektin həqiqi yerini və model tərəfindən təxmin edilən yer arasındakı ortaq
sahəni ölçür",D
K-fold cross-validation nədir?,Təlim verilənlərinin təhlili,Modelin hər mərhələdə test edilən üsul,Verilənlərin təkrarlanan şəkildə bölünməsi,Verilənləri yalnız təlimləndirən üsu,C
"K-means alqoritmasında ""K"" necə seçilir?",Yalnız modelin nəticələrinə əsaslanır,"Məlumatların xüsusiyyətlərinə əsaslanır",Təcrübə və tədqiqat əsasında seçilir,Etiketsiz verilənlərlə bağlıdır,C
"K-means alqoritmasında verilənlər necə qruplaşdırılır?","Verilənlərin sırasına əsaslanaraq","Mesafələrə əsaslanaraq","Etiketlərə əsaslanaraq",Təcrübələrə əsaslanaraq,B
K-nə qədər sinifli şəkil sinifləndirmə məsələsində nə olmalıdır?,Yalnız K fərqli şəkil növü istifadə olunmalıdır,"Yalnız bir sinif olmalıdır", Çıxış qatında K neyronu olmalıdır,"Çıxış qatında yalnız bir neyron olmalıdır",C
"Klassifikasiya modelində ""Confusion Matrix"" nəyi göstərir?",Siniflərin sayını,Modelin səhvlərinin ölçülməsi,Verilənlərin təkrarlanmadan işlənməsi,"Hər sinifin doğru və yanlış təsnifatını",D
Klassifikasiya modelində hansı metrik daha çox informativdir?,F1-Score,"Bütün qeyd edilənlər","Precision və Recall",Mean Absolute Error,B
Klassifikasiya modelində modelin doğru cavablarını ölçən metrik hansı ola bilər?,Confusion Matrix,Bütün qeyd edilənlər,Sensitivlik,Precision,B
Klassifikasiya modelində səhvləri ölçmək üçün hansı metod daha əlverişlidir?,R-squared,K-fold Cross-validation,Sensitivlik və Spesifiklik,Mean Squared Error,C
Klassifikasiya modelində verilənlər necə işlənir?,Yalnız əlamətlərin ölçülməsi ilə işləyir,Verilənlər rəqəmsal olaraq proqnozlaşdırılır,Yalnız təhlil edilən verilənlər ilə işləyir,Verilənlər siniflərə və ya qruplara ayrılır,D
"Klassifikasiya nəyi ifadə edir?",Hər hansı verilən növünün müqayisəsini,Nömrə təhlilini,"Verilənlərin siniflərə ayrılmasını",Rəqəmsal verilənlərin təhlilini,C
"Klassifikasiya problemini həll etmək üçün hansı model istifadə olunur?","Dərin öyrənmə",K-means,Logistic reqressiya,Naive Bayes,C
Klassifikasiya probleminin nəticələrini ölçmək üçün hansı metrikdən istifadə olunur?,Root Mean Squared Error (RMSE),"F1-score",R-squared,Accuracy,D
KNN (K-nearest neighbors) alqoritması hansı növ verilənlərlə işləyir?,"Yalnız kiçik verilənlərlə", Qeyri-etiketli verilənlərlə,"Yalnız şəkil verilənləri ilə",Yalnız sayısal verilənlərlə,D
"KNN (K-nearest neighbors) alqoritmasında ""K"" nəyi göstərir?",Məhsulun etiketini,Məhsul növü,"Qonşuların sayını","Sinif sayını",C
"KNN alqoritmasında ""K"" nəyi göstərir?","Qonşuların sayını",Təcrübə sayı,"Sinifləndirmə dəqiqliyini","Siniflərin sayını",A
"Komputer görməsi ilə əlaqəli ən məşhur sinir şəbəkəsi modeli hansıdır?"," K-nearest neighbors (KNN)",Convolutional Neural Network (CNN),Multi-layer Perceptron (MLP),Recurrent Neural Network (RNN),B
"Komputer görməsi nədir?",Məlumatların analizi üçün statistik üsullar,Kompüterlərin şəkil və video məlumatlarını emal edərək anlaya bilməsi,"Sinir şəbəkələrinin əsaslandığı tədqiqat sahəsi","Maşınların insan beynini təqlid etməsi",B
"Komputer görməsi sahəsində ""semantic segmentation"" nəyi nəzərdə tutur?",Hər bir pikselin etiketini müəyyən etmək,Şəkil ölçüsünü dəyişdirmək,Şəkil üzərində müxtəlif obyektləri müəyyən etmək,Şəkilin yalnız bir hissəsini təhlil etmək,A
"Komputer görməsində ""bag of words"" modelinə bənzər yanaşma hansı metodda
istifadə olunur?","Natural Language Processing (NLP)","Object Recognition",Image Classification, Image Clustering,B
"Komputer görməsində ""CNN"" modelindəki ""kernel"" nəyi ifadə edir?",Şəkildən xüsusiyyət çıxarmaq üçün istifadə olunan alqoritm,Şəkilin ölçüsünü dəyişdirən bir üsul,Şəkilin əsas xüsusiyyətlərini təyin edən mətn,"Konvolusiya əməliyyatını həyata keçirən bir filtir",D
"Komputer görməsində ""color histograms"" nəyi göstərir?","Şəkilin istifadə edilə bilən təhlil nəticələrini göstərmək","Şəkilin ölçüsünü dəyişdirmək",Şəkilin kontrastını artırmaq,"Şəkilin hər bir pikselindəki rəngləri ölçmək",D
"Komputer görməsində ""convolution"" əməliyyatı hansı məqsəd güdür?",Şəkillərdən xüsusiyyətlər çıxarmaq,"Sinifləndirmə və etiketləmə",Hər hansı bir obrazı çoxaltmaq,"Şəkillərin ölçülərini artırmaq",A
"Komputer görməsində ""feature extraction"" nədir?",Şəkilin daha kiçik ölçüdə təhlil edilməsi,Şəkil məlumatlarının şəkil formatına çevrilməsi,Şəkillərdəki daha az əhəmiyyətli xüsusiyyətləri seçmək,Şəkillərdəki ən əhəmiyyətli xüsusiyyətləri çıxarmaq,C
"Komputer görməsində ""image denoising"" nədir?",Şəkildəki səs-küyü azaltmaq,Şəkilin rəngini dəyişdirmək,Şəkilin kontrastını artırmaq,Şəkilin ölçüsünü artırmaq,A
"Komputer görməsində ""object detection"" nəyi ifadə edir?","Şəkillərdəki obyektlərin sayı və növünü tapmaq","Şəkil ölçülərini dəyişdirmək",Şəkillərin mövqeyini dəyişdirmək,Şəkillərdəki rəngləri dəyişdirmək,A
"Komputer görməsində ""transfer learning"" necə işləyir?",Yalnız böyük verilənlərlə işləmək,Yalnız şəkillərin ölçüsünü dəyişdirmək,"Sinir şəbəkəsinin sayını artırmaq",Yeni verilənlərlə təlim olunmuş modeli digər sahələrə tətbiq etmək,D
Komputer görməsində hansı metod şəkillərin məkanını təhlil etməyə kömək edir?,Recurrent networks,Convolution,K-means clustering,Decision Trees,B
"Komputer görməsində hansı növ şəkil tətbiqləri istifadə edilir?",3D şəkillər,Zamanla dəyişən şəkillər (video),2D şəkillər,Bütün qeyd edilənlər,D
"Komputer görməsindəki ""image classification"" nəyi ifadə edir?",Şəkillərin etiketlənməsi və siniflərə ayrılması,Şəkillərin ölçülərinin ölçülməsi,Şəkillərin təhlilinə dair statistik analizlər,Şəkillərdən xüsusiyyətlərin çıxarılması,A
Linear regressiya nə üçün istifadə olunur?,Verilənlərin iki sinifi arasında əlaqə tapmaq,"Məlumatları etiketləndirmək",Xətti əlaqəni modelləşdirmək,"Çox qatlı şəbəkələr qurmaq",C
Lineyar reqressiya hansı məqsəd üçün istifadə olunur?,Verilənlər arasındakı əlaqəni modelləşdirmək,Verilənləri sinifləndirmək,Qeyri-xətti verilənləri proqnozlaşdırmaq,Kategorik verilənləri təhlil etmək,A
Lineyar reqressiya ilə hansı cür əlaqələr modelləşdirilir?,"Qeyri-xətti əlaqələr","Xətti əlaqələr","Siniflər arası əlaqələr",Zamanla dəyişən əlaqələr,B
Logistic reqressiya hansı növ problemlər üçün uyğundur?,Zamanla dəyişən proqnozlar,Xətti əlaqələr,Verilənləri ölçmə,Sinifləndirmə problemləri,D
Logistic reqressiya modelində nəyə diqqət yetirilir?,Sinifləndirmə və ehtimalların hesablanması,Verilənlərin rəqəmsal uyğunluğu,Yalnız səhvlərin analiz,Xətti əlaqə,D
"Maşın öyrənməsi hansı növ verilənlərdən istifadə edir?",Yalnız mətndən istifadə edir,Strukturlaşdırılmış verilənlər,Təkcə şəkil və videolar,Strukturlaşdırılmamış verilənlər,B
Maşın öyrənməsi hansı növ verilənlərə əsaslanır?,Sözlü verilənlər,Etiketsiz verilənlər,Yalnız təsadüfi verilənlər,"Strukturlaşdırılmış verilənlər",D
"Maşın öyrənməsi ilə əlaqəli hansı mənbə verilənlərdən öyrənir?",Məlumatlar və ya təcrübə,Yalnız təbii verilənlər,Yalnız kitablar,Təsadüfi verilənlər,A
"Maşın öyrənməsi tətbiqlərində ""transfer learning"" nəyi ifadə edir?",Məlumatları təkrarlamaq,Sinir şəbəkələrində dəyişikliklər etmək,Yalnız yeni məlumatlarla öyrənmək,Mövcud modelin digər sahələrdə istifadə edilməsi,D
"Maşın öyrənməsində ""bias"" nəyi ifadə edir?",Modelin verilənlərə uyğunsuzluğu,Modelin təcrübəsizliyi,Modelin daha çox öyrənməsi,Modelin yalnız müəyyən verilənlərlə işləməsi,A
"Maşın öyrənməsində ""overfitting"" nəyi ifadə edir?",Modelin verilənlərə çox yaxşı uyğunlaşması,Modelin verilənlərə düzgün uyğunlaşmaması,Modelin çox az verilənlə işləməsi,Modelin çox yavaş öyrənməsi,A
"Maşın öyrənməsində ""precision"" nəyi ölçür?",Modelin səhvlərini,Düzgün nəticələrinin sayın,Siniflərin sayını,Modelin ümumi doğruluğunu,B
"Maşın öyrənməsində ""regularization"" nədir?",Modelin öyrənmə sürətini artırmaq,Verilənlərin saxlanmasını təmin etmək,Modelin təkrarlanmadan işləməsini təmin etmək,Modelin daha yaxşı nəticələr verməsi üçün dəyişikliklər etmək,D
"Maşın öyrənməsində ""underfitting"" nəyi ifadə edir?",Modelin heç bir nəticə verməməsi,Modelin verilənlərə çox yaxşı uyğunlaşması,Modelin həddindən artıq sadələşdirilməsi,Modelin verilənlərə uyğun gəlməməsi,D
Maşın öyrənməsində hansı növ verilənlər daha çox istifadə olunur?,Etiketsiz verilənlər,Strukturlaşdırılmış verilənlər,Təsadüfi verilənlər,Hər hansı verilənlər,B
Maşın öyrənməsinin effektivliyini artırmaq üçün nə etmək lazımdır?,Yalnız çox məlumatdan istifadə etmək,Yalnız yüksək keyfiyyətli verilənlərlə işləmək,Yalnız bir tip model istifadə etmək,Verilənləri düzgün təhlil etmək,D
Maşın öyrənməsinin tətbiq olunduğu sahələrdən biri hansıdır?,Tibbi diaqnoz və müalicə,Yalnız təbii elmlər,Yalnız əyləncə sənayesi,Yalnız təhsil,A
"Maşın təlimində ""feature engineering"" nəyi ifadə edir?",Verilənlərin təhlili,Məlumatların tərtib olunması,Yalnız verilənlərin təkmilləşdirilməsi,Verilənlərdən xüsusiyyət çıxarma,D
"Maşın təlimində ""loss function"" nədir?",Modelin səhvlərinin ölçülməsi, Siniflər arasında əlaqənin tapılması,Mükafatların hesablanması,Verilənlərin sıralanması,A
Maşın təlimində əsas məqsəd nədir?,İnsanlara məlumat vermək,Unsupervised learning,Verilənləri saxlamaq,Yalnız təcrübələr aparmaq,B
"Maşınların əvvəlcədən yazılmış qaydalara əsaslanmadan öyrənməsini təmin edən
yanaşma hansıdır?",Reinforcement learning,Unsupervised learning,Supervised learning,Qrafiklər,B
MNIST verilənlər bazası hansı növ şəkilləri ehtiva edir?,Hər hansı bir obyektin şəkilləri,Əllə yazılmış rəqəmlər,İnsan üzləri,Bitki şəkilləri,B
"Model tətbiqində ""batch processing"" nəyi ifadə edir?",Modelin yalnız test verilənləri ilə işlənməsi,Verilənlərin hamısının bir anda işlənməsi,Verilənlərin kiçik hissələrə bölünüb işlənməsi,Modelin yalnız bir dəfə işlənməsi,C
Model tətbiqində API (Application Programming Interface) nə üçün istifadə olunur?,Modelin optimallaşdırılmasını təmin etmək,Modelin digər tətbiqlərlə əlaqə qurmasına və məlumat mübadiləsi etməsinə imkan vermək,Modelin ölçülərini dəyişdirmək,Modelin təlimini asanlaşdırmaq,A
"Modelin ""test set"" ilə yoxlanması nə üçün vacibdir?",Modelin yalnız ən yaxşı nəticələri göstərməsi üçün,Sadəcə nəticə göstərmək,Yalnız verilənlərin doğruluğunu təmin etmək,Modelin yeni verilənlər üzərində necə işlədiyini qiymətləndirmək,D
Modelin doğruluğunu artırmaq üçün hansı üsul istifadə olunur?,Yalnız verilənləri artırmaq,Verilənlərin normalizasiyası və təmizlənməsi,Modelin sayını artırmaq,Etiketsiz verilənlərlə işləmək,B
Modelin doğruluğunu qiymətləndirmək üçün hansı metoddan istifadə olunur?,Cross-validation,Gradient descent,Regularization,Sinir şəbəkələri,A
Modelin düzgün işləməsini təmin etmək üçün nə lazımdır?,Təkrar məlumatları istifadə etmək,Yalnız böyük verilənlərlə işləmək,Verilənlərin düzgün təhlilini aparmaq,"Modelləri təkrarlamaq",C
Modelin öyrənmə keyfiyyətini artıran texnologiya hansıdır?,Verilənlərin etiketi,Sinifləndirmə,Dərin öyrənmə,Təbii dil işlənməsi,C
Modelin səhvini ölçmək üçün hansı metrik istifadə olunur?,Precision,Learning rate,Accuracy,Recall,C
Modelin təlimi üçün verilənləri necə hazırlamaq lazımdır?,"Verilənləri düzgün şəkildə təhlil edib, təmizləmək",Verilənləri təsadüfi şəkildə seçmək,Verilənlər yalnız təkrarlamaq,Yalnız məlumatları daxil etmək,A
Modelin təliminə başlamadan əvvəl verilənlər necə hazırlanır?,Bütün qeyd edilənlər,Verilənlər üçün uyğun etiketlər təyin edilir,Verilənlər normalizə edilir və qruplaşdırılır,Verilənlər sıralanır və təhlil edilir,A
Modelin tətbiqi üçün hansı dil və çərçivələrdən istifadə edilə bilər?,"JavaScript, HTML, CSS","C++, Assembly","SQL, MongoDB","Python, TensorFlow, PyTorch",D
"Modelin tətbiqi zamanı ""real-time processing"" nəyi ifadə edir?",Modelin təlimi zamanı nəticə təqdim etməsi,Modelin verilənləri anında qəbul edib emal etməsi,Verilənlərin öncədən işlənməsi,Modelin yalnız məlumatın sonunda nəticə verməsi,B
"Modelin tətbiqi zamanı ""scalability"" nəyi ifadə edir?",Modelin daha çox verilənlərlə işləyə bilməsi,Modelin ölçüsünü azaltmaq,Modelin performansının artırılması,Modelin yalnız kiçik verilənlərlə işləməsi,A
"Modelin tətbiqində ""serverless architecture"" nəyi ifadə edir?",Serverlərin olmaması və avtomatik olaraq resursların təyin edilməsi,Serverlərin daha sürətli işləməsi,Serverlərin yalnız testdən sonra işə salınması,Serverlər olmadan modelin işləməsi,A
Modelin tətbiqində hansı metodla istifadəçi təcrübəsi yaxşılaşdırılır?,Verilənlərin yalnız bir hissəsini istifadə etmək,Modelin tamamilə test edilməməsi,Yalnız modelin təliminə diqqət yetirmək,API-lərin sürətli işləməsi və optimallaşdırılması,D
Modelin tətbiqində hansı mühitlər istifadə olunur?,Bulud mühiti,Lokal serverlər,On-premise mühitlər,Bütün qeyd edilənlər,D
Modelin tətbiqindən sonra hansı addımlar daha çox vacibdir?,Modelin real dünyada işləyərkən səhvləri izləmək və düzəltmək,Modelin yalnız test verilənləri ilə işləməsi,Modelin təlim verilənləri ilə daha yaxşı performans göstərməsi,Modelin daha yavaş işləməsi,A
Modelin tətbiqindən sonra hansı məsələlər tez-tez yaranır?,Modelin yeni verilənlərlə uyğunlaşmaması,Modelin təlimindəki səhvlər,Modelin performansının azalması,Bütün qeyd edilənlər,D
Modelin tətbiqini izləmək üçün hansı alətlər istifadə olunur?,Prometheus,TensorBoard,Bütün qeyd edilənlər,Grafana,C
Modelin tətbiqinin avtomatlaşdırılması üçün hansı alətləri istifadə edə bilərik?,GitHub,Bütün qeyd edilənlər,Docker,Jenkins,B
"Modelin tətbiqinə başlamadan əvvəl hansı mərhələlər yerinə yetirilməlidir?",Modelin təlimi,Bütün qeyd edilənlər,Modelin optimallaşdırılması və yığılması,Mühitə uyğunlaşdırılması (environment setup),B
Multi-class klassifikasiya hansı vəziyyətdə istifadə olunur?,Yalnız bir sinifin olması,Yalnız iki sinifin olması,Hər hansı verilənlərlə işləmək,Bir neçə sinifin olması,D
Naive Bayes hansı cür verilənlər üçün uyğundur?,Zamanla dəyişən verilənlər,Şəkil verilənləri,Kategorik verilənlər,Rəqəmsal verilənlər,C
"Neural network modelində ""activation function"" nəyi təmin edir?",Sinir şəbəkələrinin əməliyyatını təkmilləşdirmək,Modelin səhvlərini azaltmaq,Modelin nəticələrini artırmaq,Modelin çox qatlı olmasını təmin etmək,A
"Neural Network-də ""activation function"" hansı məqsəd üçün istifadə olunur?",Modelin səhvlərini ölçmək,Sinir hüceyrələrinin təsirini idarə etmək,Çıxışın normalizasiyası,Yalnız qeyri-xətti əlaqə tapmaq,B
"Neural Network-də ""forward pass"" nəyi göstərir?",Modelin səhvlərinin hesablanmas,Modelin optimallaşdırılması,Parametrlərin təkrarlanması,Verilənlərin modelə daxil edilməsi və çıxışın alınması,D
"Neural Network-də ""weight"" nəyi ifadə edir?",Çıxış funksiyasının tətbiqini,Hər bir sinir hüceyrəsinin gücü,Qatlar arasındakı əlaqəni,Sinir şəbəkəsinin ən böyük parametrini,C
Neural Network-də hansı üsul modelin təlimində məlumatların artırılmasını təmin edir?,K-fold Cross Validation,Early Stopping,Data Augmentation,Dropout,C
"Neyron şəbəkələrində ""aktivasiya funksiyası"" nə edir?",Təlim verilənlərinin ölçülməsini təmin edir,Modelin təhlilini təmin edir,Verilənlərin etiketlənməsini təmin edir,Neyronun çıxışını təyin edir,D
"Neyron şəbəkələrində ""backpropagation"" nədir?",Modelin ilkin parametrlərini dəyişdirmək,Çıxış səhvini geri yaymaq və çəkiləri optimallaşdırmaq,Sinir hüceyrələrinin inkişafını təmin etmək,Yalnız verilənləri təhlil etmək,B
"Neyron şəbəkələrində ""epoch"" nədir?",Çıxış funksiyasının dəyişməsi,Bir neçə sinir şəbəkəsinin bir araya gəlməsi,Yalnız bir sinir hüceyrəsinin təkrarlanması,Bir təlim dövründə verilənlərin hamısı üzərində bir neçə dəfə işləmək,D
"Neyron şəbəkələrində aktivasiya funksiyasının ""ReLU"" olmasının əsas faydası nədir?","Həm müsbət, həm də mənfi nəticələri təmin etmək",Yalnız sıfırla müsbət nəticələr vermək,Sadə və effektli xətti əlaqə qurmaq,Çox sürətli təlim və böyük verilənlərlə işləmək,C
"Neyron şəbəkələrindəki ""feedforward"" nəyi ifadə edir?",Sinir hüceyrələrinin qidalanması,Verilənlərin qatlar arasında birbaşa keçidi,Modelin təlim zamanı dəyişməsi,Sinir şəbəkəsinin şəbəkə daxilində keçməsi,B
Neyron şəbəkələrində istifadə edilən ən məşhur aktivasiya funksiyası hansıdır?,Bütün qeyd edilənlər,ReLU,Sigmoid,Tanh,A
"Neyron şəbəkələrindəki ""Layer"" nəyi ifadə edir?",Sinir hüceyrələrinin hər bir qrupunu,Yalnız parametrləri,Verilənlərin təmizlənməsini,Çıxış funksiyasını,A
Neyron şəbəkələrinin təlimində hansı üsul daha tez-tez istifadə olunur?,Random Forest,Adam optimizer,Support Vector Machine,K-means,B
"Neyron şəbəkəsində ""dropout"" nə məqsədi güdür",Modelin overfitting (həddindən artıq uyğunlaşmA. problemini azaltmaq,Yalnız etiketlər üzərində işləmək,Modelin daha sürətli öyrənməsini təmin etmək,Hər bir sinir hüceyrəsini növbə ilə deaktiv etmək,A
Neyron şəbəkəsinin qatları nəyə xidmət edir?,Yalnız nəticəni göstərmək,Verilənləri sadələşdirmək,Verilənlərə aktivasiya funksiyasını tətbiq etmək,Sinir hüceyrələrinin əlaqələrini idarə etmək,D
Neyron şəbəkəsinin əsas elementi hansıdır?,Qeyri-xətti əlaqələr,Düyünlər və qatlar,Çıxış funksiyaları,Sinir hüceyrələri,B
"Object Detection modelində ""bounding box"" nəyi göstərir?",Obyektin təbii ölçülərini göstərən qutu,Obyektin sinifini müəyyən edən qutu,Obyektin şəkildən çıxarılması üçün istifadə olunan qutu,Obyektin rəngini,C
"Object Detection modelində ""multi-class detection"" nəyi ifadə edir?",Yalnız bir sinif üzərində obyekt aşkarlamaq,Obyektin ətrafındakı konturları tapmaq,Bir şəkil üzərində bir neçə fərqli sinifin obyektlərini aşkarlamaq,Eyni sinifə aid obyektləri təhlil etmək,C
Object Detection nədir?,Şəkillərdə və videolarda obyektlərin mövqeyini və növünü müəyyən etmək,Verilənləri təhlil etmək,Şəkilləri sinifləndirmək,Şəkillərdəki pikselləri dəyişdirmək,A
"Object Detection-də ""anchor boxes"" nəyi ifadə edir?",Modelin təlimini optimallaşdırmaq üçün istifadə edilən qutular,Hər bir obyekt üçün təxmin edilən ilkin qutular,Obyektin ölçüsünü dəyişdirən qutular,Obyektin tipini müəyyən edən qutular,B
"Object Detection-də ""true positive"" nəyi göstərir?",Yalnız səhv təhlil edilmiş obyektlər,Modelin təlim verilənlərindəki səhvlər,Doğru təsnif edilmiş obyektlər,Modelin təlim prosesində səhvləri,C
Object Detection-də hansı metodla obyektlərin növü və yerini müəyyən etmək mümkündür?,Softmax activation,Feature extraction,Region proposal,Convolutional layers,C
Object Detection-də ən çox istifadə olunan sinir şəbəkəsi modeli hansıdır?,Support Vector Machine (SVM),Recurrent Neural Network (RNN),YOLO (You Only Look Once),Convolutional Neural Network (CNN,C
Proqnozlaşdırma modelinin düzgün işləməsi üçün hansı elementlərə diqqət yetirilməlidir?,Yalnız verilənlərin növü,Modelin quruluşuna,Yalnız etiketlərə,Təlim və test verilənlərinin balansı,D
PyTorch nədir?,Veb inkişaf üçün istifadə olunan alətdir,Cəbr hesablama üçün istifadə olunan proqramdır,Maşın öyrənməsi kitabxanasıdır,Şəkil redaktə etmək üçün istifadə olunur,C
"PyTorch-da ""backpropagation"" nəyi ifadə edir?",Sinir şəbəkələrinin optimallaşdırılmasını,Modelin səhvlərini geri yaymaq və çəkiləri yeniləmək,Verilənlərin testdən keçməsi,Çıxış funksiyasını təyin etmək,B
"PyTorch-da ""batch size"" nəyi ifadə edir?",Verilənlərin təhlilinin sürətini,Modelin təlim verilənlərinin sayını,Modelin çıxışını təyin edən ölçü,Verilənlərdəki hər bir qeydin ölçüsü,B
"PyTorch-da ""DataLoader"" nədir?",Modelin çıxışını təhlil etmək,Verilənləri daha sürətli yükləmək və qruplaşdırmaq üçün istifadə olunur,Modelin təlim verilənlərini təmin etmək,Verilənlərin etiketlərini saxlamaq,B
