Sual,A,B,C,D,Dogru cavab
"PyTorch-da ""DataLoader"" nədir?",Modelin ölçülərini dəyişdirmək,Verilənləri saxlamaq üçün verilənlər bazası,Verilənlərin modelə düzgün şəkildə ötürülməsi üçün alət,Modelin optimallaşdırılması üçün metod,C
"PyTorch-da ""forward pass"" nədir?",Modelin təlimi üçün verilənlərin ötürülməsidir,Modelin çıxışının ölçülməsidir,Modelin təhlil edilməsidir,Modelin ağırlıqlarının təyin edilməsidir,A
"PyTorch-da ""GPU"" üzərində hesablama aparmaq üçün hansı əməliyyatı yerinə yetirməliyik?",model.cuda(),model.to(device),model.compile(),model.gpu(),B
"PyTorch-da ""loss function"" nədir?",Modelin təhlil funksiyası,Modelin təlimində istifadə olunan səhv funksiyası,Modelin təkmilləşdirilməsinə kömək edən funksiya,Modelin qiymətləndirmə metrikası,B
"PyTorch-da ""Tensor"" nəyi ifadə edir?",Verilənləri saxlamaq üçün massivlər,Xətti əlaqələr üçün modeL,Sinir şəbəkələrinin aktivasiya funksiyası,Modelin optimallaşdırılması,A
PyTorch-da bir tensorun ölçüsünü necə öyrənə bilərik?,tensor.shape,tensor.dim(),Bütün qeyd edilənlər,tensor.size(),C
PyTorch-da hansı funksiya verilənləri sıralamağı təmin edir?,torch.sort(),torch.index(),torch.rank(),torch.stack(),A
PyTorch-da hansı funksiyalarla modelin qiymətləndirmə rejimini dəyişdirə bilərik?,model.compile(),model.fit(),model.train() və model.eval(),model.validate(),C
PyTorch-da hansı metod modelin optimallaşdırılmasını təmin edir?,model.train(),model.optimize(),optimizer.step(),model.validate(),C
PyTorch-da hansı metodla tensoru CPU-dan GPU-ya köçürmək olar?,.cuda(),.to(device),.transfer(),.gpu(),B
PyTorch-da hansı optimizasiya alqoritması daha çox istifadə olunur?,RMSprop,SGD (Stochastic Gradient Descent),Adam,Bütün qeyd edilənlər,D
PyTorch-da modelin təliminə başlamadan əvvəl hansı funksiyanı çağırmaq lazımdır?,model.fit(),model.compile(),model.eval(),model.train(),D
"PyTorch-da sinir şəbəkələrində ""dropout"" nədir?",Sinir hüceyrələrinin təsadüfi olaraq deaktiv edilməsi,Modelin optimallaşdırılması,Sinir hüceyrələrinin ölçüsünü artırmaq,Modelin ölçüsünü artırmaq,A
PyTorch-da şəkil sinifləndirmə modelində torchvision nə üçün istifadə olunur?,Modelin optimallaşdırılmasını təmin etmək,Şəkil ölçülərini dəyişdirmək,CNN modellərini tətbiq etmək və verilənlər bazasına daxil olmaq,Şəkil formatlarını dəyişdirmək,C
PyTorch-da torch.autograd nə üçün istifadə olunur?,Tensorları hesablamaq,Cəbr əməliyyatlarını avtomatik olaraq fərqləndirmək,Modelin performansını ölçmək,Modelin yaddaşını optimallaşdırmaq,B
PyTorch-da torch.autograd nə üçün istifadə olunur?,Tensorların əməliyyatlarını idarə etmək,Modelin optimallaşdırılması,Modelin əlamətlərini saxlamaq,Fərqləndirmə və geri yayılma üçün avtomatik alət,D
PyTorch-da torch.load funksiyası ilə hansı əməliyyat həyata keçirilir?,Modelin çıxışını yükləmək, Modelin təlimi üçün yeni verilənlər yükləmək,Yaddaşda saxlanılan modelin çəkilərini yükləmək,Tensorları diskdən yükləmək,C
PyTorch-da torch.nn nədir?,Şəkil emalı üçün alət,Sinir şəbəkələrinin qurulması üçün modullar,Rəqəmsal verilənlərin təhlili üçün alət,Verilənlər bazası əməliyyatları üçün modul,B
PyTorch-da torch.nn.CrossEntropyLoss nə üçün istifadə olunur?,Modelin optimallaşdırılması üçün funksiyadır,Regressiya problemləri üçün itki funksiyası,Aktivasiya funksiyasıdır,Sinifləndirmə problemləri üçün itki funksiyası,D
PyTorch-da torch.nn.functional nədir?,Sinir şəbəkəsi üçün məlumat təhlili funksiyaları,Sinir şəbəkəsi üçün xüsusi aktivasiya funksiyaları və digər əməliyyatlar,Verilənlər bazası üçün metodlar,Modelin təlimini təmin edən funksiyalar,B
PyTorch-da torch.nn.Linear nədir?,Xətti regresiya funksiyasıdır,"Sinir şəbəkəsi qatıdır, xətti əlaqəni təmsil edir",Sinir şəbəkəsinin optimallaşdırılmasını təmin edir,Tensorları işlətmək üçün funksiyadır,B
PyTorch-da torch.nn.Module nədir?,Qrafik vizualizasiya üçün modul,Verilənlərin təhlili üçün modul,Sinir şəbəkəsi üçün əsas sinif,Tensorların əməliyyatları üçün sinif,C
PyTorch-da torch.optim nə üçün istifadə olunur?,Modelin öyrənmə sürətini tənzimləmək,Modelin çəkilərini optimallaşdırmaq,Təlim verilənlərini optimallaşdırmaq,Tensorları avtomatik olaraq hesablamaq,B
PyTorch-da torch.save funksiyası nə üçün istifadə olunur?,Modelin nəticələrini təhlil etmək,Modelin təlimini dayandırmaq,Verilənlər bazasına məlumat yazmaq, Modelin çəkilərini və parametrlərini yaddaşa saxlamaq,D
"PyTorch-da torch.Tensor obyektinin ""device"" nəyi ifadə edir?",Tensorun CPU və ya GPU-da işləyəcəyini təyin edi,Tensorun ölçüsünü təyin edir,Tensorun məlumat tipini təyin edir,Tensorun hansı növ verilənlə işləyəcəyini müəyyən edir,A
PyTorch-da torch.Tensor obyektinin əsas məlumat tipi nədir?,List,Python dictionary,NumPy array,Pandas DataFrame,C
PyTorch-da torch.Tensor və torch.cuda.Tensor arasındakı fərq nədir?,"torch.Tensor CPU, torch.cuda.Tensor isə GPU ilə işləyir",Hər ikisi yalnız CPU-da işləyir,torch.Tensor daha sürətlidir,torch.cuda.Tensor daha sürətlidir,A
PyTorch-un əsas komponentlərindən biri hansıdır?,Vector,Table,Tensor,Matrix,C
Qeyd olunanlardan hansı neyron şəbəkəsi modelində ardıcıl verilənlərlə işləyir?,Deep Belief Network (DBN),Convolutional Neural Network (CNN),Recurrent Neural Network (RNN),Multi-layer Perceptron (MLP),C
Qeyri-xətti əlaqələri öyrənmək üçün hansı modeldən istifadə olunur?,KNN,Logistic regressiya,Xətti regressiya,Dərin öyrənmə,D
R-CNN (Region-based Convolutional Neural Network) metodunda hansı əsas addım istifadə olunur?,Bütün şəkli bir dəfə təhlil etmək,Şəkilin yalnız ölçülərini təhlil etmək,"Mümkün olan obyekt sahələrini müəyyən edib, hər sahəni ayrıca təhlil etmək",Modelin çəkilərini optimallaşdırmaq,C
Random Forest alqoritmasında hansı xüsusiyyət istifadə olunur?,Kategorik verilənlərə əsaslanmaq,Birləşmiş ağaclar ilə daha dəqiq nəticə əldə etmək,Nömrə əsasında proqnozlaşdırmaq,Yalnız bir ağacdan istifadə etmək,B
Random Forest modelinin üstünlüyü nədir?,Bir neçə ağacla daha dəqiq nəticələr əldə edilir,Sadə alqoritmalarla işləyir,Yalnız bir ağacla işləyir,Yalnız struktursuz verilənlərlə işləyir,A
Regressiya modelində verilənlərin proqnozlaşdırılması üçün hansı ölçü istifadə olunur?,Accuracy,Mean Squared Error (MSE),Log-loss,Recall,B
Reinforcement learning-də model necə öyrənir?,Təcrübə və səhvlərdən istifadə etməklə,Cəzalar və mükafatlar əsasında,Qeyri-müəyyən məlumatları istifadə edərək,Yalnız məlumatları təkrarlayaraq,B
Reqressiya modelində hansı tip verilənlər əsasən istifadə olunur?,Qeyri-strukturlaşdırılmış verilənlə,Rəqəmsal və davamlı verilənlər,Sinifləndirilmiş verilənlər,Etiketsiz verilənlər,B
Reqressiya modelində əhəmiyyətli dəyişənləri seçmək üçün hansı üsuldan istifadə olunur?,Random Forest,Feature selection,Clustering,Model normalization,B
Reqressiya nədir?,Verilənlərin sinifləndirilməsi,Verilənlərdəki qeyri-müəyyənliyi ölçmək,Verilənlərin ölçülməsi,Nömrələrin və ya rəqəmsal verilənlərin proqnozlaşdırılması,D
Reqressiya və klassifikasiya arasındakı əsas fərq nədir?,Reqressiya və klassifikasiya arasında heç bir fərq yoxdur,"Reqressiya yalnız təlimləndirici verilənlərə əsaslanır, klassifikasiya isə yalnız test verilənləri ilə işləyir","Reqressiyada yalnız rəqəmsal verilənlər, klassifikasiyada isə yalnız etiketli verilənlər istifadə olunur","Reqressiyada siniflər müəyyən edilir, klassifikasiyada isə davamlı verilənlər",C
RetinaNet modelinin ən mühüm xüsusiyyəti nədir?,"Obyekt aşkarlanmasında ""focal loss"" funksiyasından istifadə edir",Obyekt aşkarlanmasını yalnız sadə sinifləndirmə üsulu ilə həyata keçirir,"""YOLO"" modelindən daha sürətlidir",Modelin ağırlıqlarını tamamilə sıfırdan öyrədir,A
Softmax funksiyası hansı məqsəd üçün istifadə olunur?,Şəkil ölçülərini dəyişdirmək,Şəbəkənin səhvini hesablamaq,Sinifləndirmə problemlərində ehtimalları hesablamaq,Tensorları optimize etmək,C
Süni intellekt (AI) nəyi təqlid edir?,İnsan duyğularını,İnsan bədənini,Insanla əlaqə qurmağı,İnsan davranışlarını və düşüncələrini,D
Süni intellekt aviasiya sektorunda hansı əsas texnologiyaları təkmilləşdirir?,Pilot təlimini azaldır,Yalnız uçuş qiymətlərini azaldır,İzləmə və təhlükəsizlik texnologiyaları,Təyyarə dizaynını dəyişdirir,C
Süni intellekt hansı aviasiya xidmətləri üçün effektivdir?,Sərnişin məlumatlarının təhlili və xidmətlərin şəxsiləşdirilməsi,Təyyarə təmirinin avtomatlaşdırılması,Avtomatik uçuş marşrut planlaşdırılması,Bütün qeyd edilənlər,D
"Süni intellekt hansı xüsusiyyətə sahib olmalıdır ki, insanla qarşılıqlı əlaqə qura bilsin?",Fiziki güc,Təlim verilən məlumat,Heç birini,Duyğusal zəkası,D
Süni intellekt hava limanlarında hansı sahədə tətbiq olunur?,Hava limanında təhlükəsizlik yoxlamalarının tamamilə avtomatlaşdırılması,Uçuş məlumatlarının təhlili və optimallaşdırılması,Hava limanı dizaynının dəyişdirilməsi,Hava limanında avtomatik restoran xidmətləri,A
Süni intellekt modelinin tətbiqi (deployment) nəyi ifadə edir?,Modelin optimallaşdırılması,Modelin təlim verilməsi,Modelin test edilməsi,Modelin real dünya tətbiqində istifadəyə verilməsi,D
"Süni intellekt modelinin tətbiqi zamanı ""monitoring"" nədir?",Modelin vizualizasiyası,Modelin optimallaşdırılması,Modelin yalnız testdən keçməsi,Modelin performansının izlənməsi və real dünya verilənləri ilə qarşılaşdırılması,D
"Süni intellekt modelinin tətbiqində ""continuous integration"" (CI) nəyi ifadə edir?",Modelin yalnız bir dəfə tətbiq edilməs,Modelin inkişaf etdirildikcə müntəzəm olaraq sınaqdan keçirilməsi və yenilənməsi,Modelin test edilməməsi,Modelin real vaxt rejimində təlim edilməsi,B
"Süni intellekt modelinin tətbiqində ""data privacy"" və ""data security"" məsələləri niyə vacibdir?",Çünki modelin sınaqdan keçməsi tələb olunmur,Verilənlərin qorunması və istifadəçilərin məxfiliyinin təmin edilməsi üçün,Yalnız verilənlər bazasının ölçüsünü artırmaq üçün,Modelin daha sürətli işləməsi üçün,B
"Süni intellekt modelinin tətbiqindən sonra ""model retraining"" nə zaman lazımdır?",Modelin performansı düşəndə və ya verilənlərdə dəyişiklik baş verdikdə,Modelin tətbiqi tamamlandıqda,Modelin heç vaxt retraining-ə ehtiyacı yoxdur,Modelin ilkin təlimindən sonra,A
Süni intellekt modellərinin tətbiqi zamanı hansı xidmətlər ən çox istifadə olunur?,"MySQL, PostgreSQL","Photoshop, Illustrator","AWS, Azure, Google Cloud","Excel, PowerPoint",C
"Süni intellekt modellərinin tətbiqində ""load balancing"" nəyi ifadə edir?",Modelin optimallaşdırılması,Şəbəkə trafikinin bərabər şəkildə bölünməsi,Modelin çəkilərinin yığılması,Modelin təlimindəki səhvlərin azaldılması,B
Süni intellekt sistemləri üçün məlumatın keyfiyyəti niyə çox vacibdir?,Daha yaxşı nəticələr verir,Yalnız sürətli öyrənmə təmin edir,Daha yüksək sürət təmin edir,Məlumatın ölçüsü artır,A
Süni intellekt uçuş zamanı hansı məlumatları real vaxtda təhlil edərək təyyarənin idarə edilməsinə kömək edir?,Təyyarə dizaynı,Yalnız sərnişinlərin məlumatları,Uçuş marşrutu və hava şəraiti,Sərnişinlərin ehtiyacları,C
"Süni intellektdə ""overfitting"" nə deməkdir?",Modelin verilənlərə uyğunsuzluğu,"Modelin çox təcrübə etməsi",Modelin verilənləri çox yaxşı uyğunlaşdırması,Modelin yalnız müəyyən verilənlərlə işləməsi,C
Süni intellektdə verilənlərdən naxış tapmağa nə ad verilir?,Məlumat analizi,Klasterləşdirmə,Sinifləndirmə,Proqnozlaşdırma,B
Süni intellektin aviasiya sahəsində tətbiqi nəticəsində hansı fayda əldə edilə bilər?,Təyyarə uçuşlarını daha sürətli etmək,Yalnız sərnişinlərin xidmətini yaxşılaşdırmaq,Uçuşlarda daha çox sərnişin qəbulu,Uçuş təhlükəsizliyinin və səmərəliliyinin artırılması,D
Süni intellektin aviasiya sahəsində tətbiqi üçün hansı sahələrdə dəstək verən məlumat bazaları mövcuddur?,Uçuş məlumatları,Sərnişin məlumatları,Bütün qeyd edilənlər,Hava şəraiti məlumatları,C
Süni intellektin aviasiya sahəsindəki əsas çətinlikləri hansılardır?,Aviasiya texnologiyalarının hələ də inkişaf etməməsi,Avtomatlaşdırma ilə əlaqəli yüksək maliyyətlər,Təhlükəsizlik və məlumatların qorunması məsələləri,Yalnız pilotların öyrədilməsi,C
Süni intellektin aviasiya sahəsindəki əsas istifadəsi hansıdır?,Aviasiya bilet satışlarını artırmaq,Yalnız uçuş təhlili,Yalnız hava limanı təhlükəsizliyi,Avtomatlaşdırılmış təyyarə idarəetməsi və pilot dəstəyi,D
Süni intellektin aviasiya sektorunda inkişafı ilə bağlı hansı çətinliklər mövcuddur?,Yalnız işçilərin azaldılması,Texnologiyanın inkişaf sürəti,Verilənlər bazasının ölçüsü,Təhlükəsizlik və məlumatların qorunması məsələləri,D
Süni intellektin aviasiyada təhlükəsizlik məqsədilə istifadəsi hansı şəkildə olur?,Hava limanlarında təhlükəsizlik yoxlamalarının təkmilləşdirilməsi,Uçuş zamanı sərnişin xidmətlərini təkmilləşdirmək,Uçuşların qiymətini təhlil etmək,Uçuşlara yalnız pilotlar nəzarət edir,A
Süni intellektin aviasiyada tətbiqində hansı alqoritmalar istifadə olunur?,Dərin öyrənmə (Deep Learning),Maşın təlimi (Machine Learning),Bütün qeyd edilənlər,Süni neyron şəbəkələri,C
Süni intellektin inkişafı ilə hansı sektorda böyük dəyişikliklər baş verə bilər?,Kimya sənayesi,Təhsil və səhiyyə,Qida istehsalı,Pərakəndə satış,B
Süni intellektin inkişafı ilə hansı təhlükə yaranır?,Məlumatın kənar şəxslərə ötürülməsi,Məlumatın itməsi,Sürətli texnoloji inkişafın qarşısı alınması,İnsan əməyinin əvəz olunması,D
Süni intellektin inkişafında hansı problem üzləşir?,Yalnız çox məlumat lazım olur,İnsan davranışını heç vaxt təqlid edə bilməməsi,Yalnız texnologiyanın sürətinin artırılması,İnsan beyni kimi düşünə bilməməsi,D
Süni intellektin inkişafında hansı sahələr əsas rol oynayır?,Ədəbiyyat və tarix,Biologiya və riyaziyyat,Həyat və sosial elmlər,Riyaziyyat və kompüter elmləri,D
Süni intellektin təhlükəsizlik və etika məsələləri necə idarə olunur?,İnsanların nəzarəti ilə,Heç bir idarəetmə yoxdur,Tamamilə avtomatik idarə olunur,Yalnız riyazi modellərlə,A
Süni intellektin tətbiqi hansı sahələrdə daha çox yayılıb?,Yalnız əyləncə və idman,Ətraf mühit və kənd təsərrüfatı,Riyaziyyat və fizika,Tibb və iqtisadiyyat,D
Süni intellektin ən böyük məqsədi hansıdır?,İnsanları əvəz etmək,İnsanların işini asanlaşdırmaq,Yalnız hesablamalar aparmaq,Düşünmək və hiss etmək,B
Süni intellektin ən geniş istifadə sahələrindən biri hansıdır?,Avtomobil sənayesi,"Təbiət mühafizəsi",Oyun dizaynı,Mətbəx texnologiyaları,A
Süni intellektlə bağlı ən çox hansı etik problem mövcuddur?,Tətbiqlərin qeyri-məhdud istifadəsi,İnsanları manipulyasiya etmək,Yalnız sürətli inkişaf,Məlumatların qorunması və gizliliyi,D
Süni intellektlə hansı növ sistemlər daha çox əlaqəli olur?,Sadə hesablama sistemləri,Yalnız kompüter sistemləri,İnsan beyninin işləmə prinsipləri,Təbiət hadisələri,C
Süni intellektlə əlaqəli verilənlərin etiketlənməsi nə üçün lazımdır?,Maşının verilənləri düzgün şəkildə analiz etməsi üçün,Yalnız məlumatların daha sürətli öyrənilməsi üçün,Modelin şəbəkə strukturunun qurulması üçün,Məlumatın paylaşılması üçün,A
Supervised learning-də modelin nəticələrini qiymətləndirmək üçün hansı istifadə olunur?,Modelin zamanla dəyişməsi,Verilənlərin etiketi,Sinir şəbəkələri,Maşının öz təcrübəsi,B
Supervised learning-də modelin öyrənməsi üçün nə tələb olunur?,Cəza və mükafat,Təlim və test verilənləri,Yalnız test verilənləri,Qeyri-etiketli verilənlər,B
Supervised learning-də nə olur?,Maşın heç vaxt səhv etmir,Məlumatlardan yalnız birini seçir,Məlumatın etiketləri və cavabları məlum olur,Etiketsiz verilənlərdən öyrənilir,C
Supervised learning-də verilənlərin təhlilinə nə ad verilir?,Sinifləndirmə,Nümunə çıxarma,Qruplaşdırma,Etiketləmə,A
SVM (Support Vector Machine) alqoritması hansı məqsəd üçün istifadə olunur?,Sinir şəbəkələri ilə əlaqə qurmaq,Yalnız təsadüfi verilənlərlə işləmək,Etiketsiz verilənlərdən öyrənmək,Kategoriyaların ayrılmasını təmin etmək,D
SVM (Support Vector Machine) alqoritması əsasən hansı sahədə istifadə olunur?,Qruplaşdırma,Sinifləndirmə,Zamanla dəyişən proqnozlar,Reqressiya,B
Şəkil məlumatlarını kompüterə ötürərkən hansı format daha çox istifadə olunur?,".jpg, .png",.txt,.mp3,.csv,A
"Şəkil sinifləndirmə modelində ""batch size"" nəyi göstərir?",Modelin öyrənmə sürətini təyin edir,Modelin çıxışını göstərir,Modelin təlim verilənlərindəki ümumi sayını,Modelin təlimi üçün verilənlərin qruplarını göstərir,D
"Şəkil sinifləndirmə modelində ""learning rate"" nədir?",Modelin optimallaşdırılmasını təmin edir,Modelin giriş verilənlərinin sayını göstərir,Modelin çıxışını göstərir,Modelin təlimi zamanı çəkilərin nə qədər dəyişəcəyini göstərən parametr,D
"Şəkil sinifləndirmə modelində ""pooling"" əməliyyatı nəyi təmin edir?",Şəbəkə daxilində keçən məlumatın axınını artırmaq,Şəkilin ölçüsünü artırmaq,Şəbəkənin optimallaşdırılmasını təmin etmək,Şəkilin əsas xüsusiyyətlərini çıxarmaq və ölçüsünü kiçiltmək,D
Şəkil sinifləndirmə modelində aktivasiya funksiyasının rolu nədir?,Modelin optimallaşdırılması,Şəkilin rənglərini dəyişdirmək,Şəbəkənin çıxışını qeyri-xətti şəkildə formalaşdırmaq,Şəkilin ölçüsünü dəyişdirmək,C
Şəkil sinifləndirmə modelinin daha yaxşı performans göstərməsi üçün verilənlər bazasında hansı üsul tətbiq edilə bilər?,Data Augmentation,Shuffling,Hamısı,Normalization,C
Şəkil sinifləndirmə modelinin təlimində hansı itki funksiyası daha çox istifadə edilir?,Kullback-Leibler Divergence,Mean Squared Error (MSE),Hinge Loss,Cross-Entropy Loss,D
Şəkil sinifləndirmə modellərində hansı üsul overfitting-i azaltmağa kömək edir?,Early stopping,Bütün qeyd edilənlər,Dropout,Data augmentation,B
"Şəkil sinifləndirmə məsələlərində hansı verilənlər ""image augmentation"" üçün istifadə olunur?",Şəkilləri rotasiya və refleksiya etmək,Şəkil kontrastını azaltmaq,Şəkil ölçülərini dəyişdirmək,Şəkil xətalarını artırmaq,A
Şəkil sinifləndirmə məsələlərində hansı ən çox istifadə olunan təlim dəstidir?,CIFAR-10,MNIST,ImageNet,COCO,C
Şəkil sinifləndirmə məsələlərində verilənlər bazası olaraq hansı çox istifadə edilən məlumat dəsti mövcuddur?,MNIST,Titanic,Iris,Boston Housing,A
Şəkil sinifləndirmə üçün məşhur CNN modelindən biri hansıdır,VGGNet,KNN,LSTM,Decision Trees,A
Şəkil sinifləndirmə üçün ən çox istifadə edilən aktivasiya funksiyası hansıdır?,Tanh,Sigmoid,Softmax,ReLU,D
Şəkil sinifləndirməsi (Image Classification) nədir?,Şəkilləri rənglərə görə təsnif etmək,Şəkillərdəki obyektləri tanımaq,Şəkilləri ölçmək,Şəkilləri müxtəlif kateqoriyalara ayırmaq,D
"Şəkil üzərində ""bounding box"" təhlilini optimallaşdırmaq üçün hansı üsul istifadə olunur?",Batch Normalization,Non-Maximum Suppression (NMS),Dropout,Gradient Descent,B
Tanh funksiyası hansı xüsusiyyətə malikdir?,Çıxış yalnız müsbət dəyərlərdir,Çıxış həmişə 1-dir,Çıxış yalnız sıfırdır,Çıxış -1 ilə 1 arasında dəyişir,D
Transfer learning nədir?,Mövcud bir modelin təlimatları ilə yeni bir problemi həll etmək,Modelin sıfırdan öyrənməyə başlaması,Yalnız yeni şəkilləri sinifləndirmək,Modelin birbaşa təlim verilənlərindən öyrənməsi,A
Təbii dil işlənməsi (NLP) hansı məqsəd üçün istifadə olunur?,İnsanların düşüncələrini təqlid etmək,Şəkilləri tanımaq,Mətni analiz etmək və insan dilini başa düşmək,Video oyunları yaratmaq,C
Təsadüfi meşə modelinin ən böyük üstünlüyü nədir?,Verilənlərdəki səhvlərə qarşı davamlı olması,Çox sürətli nəticələr əldə etməsi,Modelin sadə və asan olması,Yalnız çox sayda verilənlərlə işləməsi,A
Tətbiq mühitində modelin yüklənməsi və idarə edilməsi üçün hansı alətləri istifadə edə bilərik?,"SQLite, MongoDB","Jupyter Notebook, TensorFlow","Pandas, NumPy","Docker, Kubernetes",D
Unsupervised learning hansı vəziyyətdə istifadə edilir?,Yalnız rəqəmsal verilənlərlə,İnsan məlumatı olmadan,Etiketsiz verilənlərlə,Yalnız sinir şəbəkələri ilə,C
Verilənləri modelə daxil etməzdən əvvəl nə etməliyik?,Verilənləri təmizləməliyik,Yalnız çox sayda məlumat istifadə etməliyik,Modeli dəyişdirməliyik,Verilənləri təsadüfi seçməliyik,A
Yalnız bir dəyişkənin xətti əlaqəsini modelləşdirmək üçün hansı üsul istifadə olunur?,Lineyar reqressiya,K-nearest neighbors (KNN),Decision Tree,Logistic reqressiya,A
Yalnız bir sinfi tapmağa çalışan modelə nə deyilir?,Multiclass classification,Binary classification,Regression,Clustering,B
"YOLO modelində ""grid"" nəyi ifadə edir",Şəkilin kontrastını artırmaq,Şəkilin ölçüsünü artırmaq,Obyektlərin sayını hesablamaq,Şəkili kiçik hissələrə bölmək və hər hissədə obyekt aşkarlamağa çalışmaq,D
"YOLO modelində ""output layer""də hansı məlumatlar çıxarılır?",Şəkilin ölçüləri,Modelin optimallaşdırılması,Modelin səhvləri,Obyektin tipini və yerini (bounding box koordinatları),D
YOLO modelinin təlimi hansı üsuldan istifadə edir?,Supervised learning,Unsupervised learning,Reinforcement learning,Semi-supervised learning,D
YOLO modelinin əsas xüsusiyyəti nədir?,Bütün şəkili eyni anda bir dəfə təhlil edir və obyektləri müəyyən edir,Obyektləri sadəcə ölçülərinə görə təhlil edir,Şəkilləri hər dəfə bir-bir təhlil edərək obyektləri tapır,Yalnız şəkillərdəki obyektləri tanıyır,A
YOLOv4 modeli hansı xüsusiyyətə malikdir?,Obyektləri yalnız müəyyən ölçüdə aşkarlamaq,"Həm kiçik, həm böyük obyektləri daha sürətli təhlil etmək",Şəkillərin həddindən artıq böyük ölçüsünü təhlil etmək,Modelin təlimini sürətləndirmək üçün daha çox qatları ehtiva etmək,B
